,index,date,time,open,high,low,close,id
12164,BANKNIFTY,20121121,12:00,11427.55,11427.55,11424.15,11426.0,2012NOVBNF.txt
12224,BANKNIFTY,20121121,13:00,11380.0,11380.0,11375.15,11377.5,2012NOVBNF.txt
12284,BANKNIFTY,20121121,14:00,11411.9,11417.65,11411.9,11417.65,2012NOVBNF.txt
12344,BANKNIFTY,20121121,15:00,11451.5,11452.7,11449.2,11449.2,2012NOVBNF.txt
12374,BANKNIFTY,20121121,15:30,11473.85,11473.85,11463.95,11463.95,2012NOVBNF.txt
12375,BANKNIFTY,20121122,09:16,11507.6,11514.2,11503.65,11504.85,2012NOVBNF.txt
12419,BANKNIFTY,20121122,10:00,11540.8,11541.9,11539.1,11540.4,2012NOVBNF.txt
12479,BANKNIFTY,20121122,11:00,11512.85,11516.25,11512.85,11515.95,2012NOVBNF.txt
12539,BANKNIFTY,20121122,12:00,11527.2,11532.45,11527.2,11532.45,2012NOVBNF.txt
12599,BANKNIFTY,20121122,13:00,11534.15,11536.4,11530.1,11530.1,2012NOVBNF.txt
12659,BANKNIFTY,20121122,14:00,11551.6,11551.6,11548.6,11548.75,2012NOVBNF.txt
12719,BANKNIFTY,20121122,15:00,11527.25,11531.5,11527.25,11531.5,2012NOVBNF.txt
12749,BANKNIFTY,20121122,15:30,11502.05,11510.1,11502.05,11510.1,2012NOVBNF.txt
12750,BANKNIFTY,20121123,09:16,11543.1,11549.0,11526.7,11527.1,2012NOVBNF.txt
12794,BANKNIFTY,20121123,10:00,11489.7,11492.2,11488.95,11492.2,2012NOVBNF.txt
12854,BANKNIFTY,20121123,11:00,11488.55,11491.5,11488.55,11489.75,2012NOVBNF.txt
12914,BANKNIFTY,20121123,12:00,11452.7,11455.05,11450.4,11452.0,2012NOVBNF.txt
12974,BANKNIFTY,20121123,13:00,11404.8,11407.75,11403.85,11406.3,2012NOVBNF.txt
13034,BANKNIFTY,20121123,14:00,11422.45,11425.8,11421.15,11422.75,2012NOVBNF.txt
13094,BANKNIFTY,20121123,15:00,11441.7,11442.55,11439.95,11442.55,2012NOVBNF.txt
13124,BANKNIFTY,20121123,15:30,11474.35,11474.35,11465.25,11468.3,2012NOVBNF.txt
13125,BANKNIFTY,20121126,09:16,11520.85,11520.85,11498.3,11498.85,2012NOVBNF.txt
13169,BANKNIFTY,20121126,10:00,11457.55,11458.2,11454.8,11458.2,2012NOVBNF.txt
13229,BANKNIFTY,20121126,11:00,11432.4,11436.8,11431.65,11436.8,2012NOVBNF.txt
13289,BANKNIFTY,20121126,12:00,11420.85,11423.35,11416.25,11423.35,2012NOVBNF.txt
13349,BANKNIFTY,20121126,13:00,11437.4,11437.6,11434.85,11436.0,2012NOVBNF.txt
13409,BANKNIFTY,20121126,14:00,11456.25,11456.25,11452.75,11453.05,2012NOVBNF.txt
13469,BANKNIFTY,20121126,15:00,11441.65,11444.4,11441.4,11442.75,2012NOVBNF.txt
